reg,year,count
Brazil,1965,1
Brazil,1966,1
Brazil,1967,1
Brazil,1969,1
Brazil,1971,1
Brazil,1973,1
Brazil,1974,1
Brazil,1977,2
Brazil,1984,2
Brazil,1985,1
Brazil,1987,1
Brazil,1989,3
Brazil,1995,2
Brazil,1996,2
Brazil,1999,1
Brazil,2001,1
Brazil,2004,2
Brazil,2005,1
Brazil,2006,1
Brazil,2008,1
Brazil,2009,1
Brazil,2010,2
Brazil,2011,1
Brazil,2012,1
Brazil,2015,1
Brazil,2017,1
Brazil,2019,2
Central_America,1931,1
Central_America,1965,1
Central_America,1969,1
Central_America,1979,1
Central_America,1990,1
Central_America,1993,1
Central_America,1994,1
Central_America,1995,2
Central_America,1996,1
Central_America,1999,2
Central_America,2000,2
Central_America,2001,2
Central_America,2003,3
Central_America,2005,8
Central_America,2006,2
Central_America,2007,4
Central_America,2008,3
Central_America,2009,3
Central_America,2010,6
Central_America,2011,4
Central_America,2014,1
Central_America,2015,1
Central_America,2016,2
Central_America,2017,2
Central_America,2020,4
India_SriLanka,1916,1
India_SriLanka,1927,1
India_SriLanka,1935,1
India_SriLanka,1936,1
India_SriLanka,1943,1
India_SriLanka,1952,1
India_SriLanka,1955,1
India_SriLanka,1958,1
India_SriLanka,1960,1
India_SriLanka,1964,2
India_SriLanka,1966,2
India_SriLanka,1969,2
India_SriLanka,1970,1
India_SriLanka,1971,1
India_SriLanka,1972,1
India_SriLanka,1975,1
India_SriLanka,1976,1
India_SriLanka,1977,2
India_SriLanka,1978,2
India_SriLanka,1979,1
India_SriLanka,1980,1
India_SriLanka,1981,1
India_SriLanka,1982,1
India_SriLanka,1983,2
India_SriLanka,1984,1
India_SriLanka,1985,1
India_SriLanka,1987,1
India_SriLanka,1990,1
India_SriLanka,1991,1
India_SriLanka,1992,1
India_SriLanka,1993,2
India_SriLanka,1994,2
India_SriLanka,1996,1
India_SriLanka,1997,1
India_SriLanka,1998,1
India_SriLanka,2000,4
India_SriLanka,2001,1
India_SriLanka,2002,2
India_SriLanka,2004,1
India_SriLanka,2005,3
India_SriLanka,2006,2
India_SriLanka,2007,3
India_SriLanka,2008,2
India_SriLanka,2009,4
India_SriLanka,2010,2
India_SriLanka,2011,2
India_SriLanka,2012,3
India_SriLanka,2014,1
India_SriLanka,2015,3
India_SriLanka,2016,2
India_SriLanka,2017,3
India_SriLanka,2018,3
India_SriLanka,2019,6
Malaysia_Singapore_Thai,1970,1
Malaysia_Singapore_Thai,1988,2
Malaysia_Singapore_Thai,1989,1
Malaysia_Singapore_Thai,1992,2
Malaysia_Singapore_Thai,1993,2
Malaysia_Singapore_Thai,1996,1
Malaysia_Singapore_Thai,1999,2
Malaysia_Singapore_Thai,2000,2
Malaysia_Singapore_Thai,2001,2
Malaysia_Singapore_Thai,2003,4
Malaysia_Singapore_Thai,2004,1
Malaysia_Singapore_Thai,2005,2
Malaysia_Singapore_Thai,2006,1
Malaysia_Singapore_Thai,2007,3
Malaysia_Singapore_Thai,2008,3
Malaysia_Singapore_Thai,2009,3
Malaysia_Singapore_Thai,2010,1
Malaysia_Singapore_Thai,2013,2
Malaysia_Singapore_Thai,2014,3
Malaysia_Singapore_Thai,2015,1
Malaysia_Singapore_Thai,2016,3
Malaysia_Singapore_Thai,2017,4
Malaysia_Singapore_Thai,2019,3
Phil,1934,1
Phil,1937,1
Phil,1938,1
Phil,1951,1
Phil,1967,1
Phil,1968,1
Phil,1970,1
Phil,1972,1
Phil,1980,1
Phil,1981,3
Phil,1983,1
Phil,1984,2
Phil,1985,1
Phil,1987,2
Phil,1988,2
Phil,1989,3
Phil,1990,2
Phil,1991,2
Phil,1993,3
Phil,1994,1
Phil,1995,6
Phil,1998,3
Phil,1999,4
Phil,2000,3
Phil,2001,3
Phil,2003,1
Phil,2004,4
Phil,2005,2
Phil,2006,7
Phil,2007,9
Phil,2008,5
Phil,2009,5
Phil,2010,2
Phil,2011,9
Phil,2012,5
Phil,2013,5
Phil,2014,5
Phil,2015,3
Phil,2016,5
Phil,2017,4
Phil,2018,4
Phil,2019,4
Tanzania_Kenya,1964,1
Tanzania_Kenya,1968,1
Tanzania_Kenya,1978,1
Tanzania_Kenya,1988,1
Tanzania_Kenya,1989,1
Tanzania_Kenya,1990,1
Tanzania_Kenya,1993,1
Tanzania_Kenya,1994,1
Tanzania_Kenya,1995,1
Tanzania_Kenya,1996,1
Tanzania_Kenya,1998,3
Tanzania_Kenya,2002,2
Tanzania_Kenya,2004,1
Tanzania_Kenya,2005,1
Tanzania_Kenya,2006,3
Tanzania_Kenya,2007,1
Tanzania_Kenya,2008,2
Tanzania_Kenya,2010,1
Tanzania_Kenya,2011,3
Tanzania_Kenya,2012,2
Tanzania_Kenya,2014,1
Tanzania_Kenya,2015,4
Tanzania_Kenya,2016,3
Tanzania_Kenya,2017,1
Tanzania_Kenya,2018,4
Tanzania_Kenya,2019,1
Tanzania_Kenya,2020,1
Venezuela_Colombia,1970,1
Venezuela_Colombia,1984,1
Venezuela_Colombia,1987,1
Venezuela_Colombia,1988,1
Venezuela_Colombia,1999,1
Venezuela_Colombia,2000,1
Venezuela_Colombia,2004,2
Venezuela_Colombia,2005,1
Venezuela_Colombia,2007,1
Venezuela_Colombia,2008,1
Venezuela_Colombia,2009,1
Venezuela_Colombia,2010,1
Venezuela_Colombia,2011,3
Venezuela_Colombia,2013,1
Venezuela_Colombia,2014,1
Venezuela_Colombia,2015,1
Venezuela_Colombia,2018,1
Venezuela_Colombia,2019,1
Vietnam,1953,1
Vietnam,1970,1
Vietnam,1971,1
Vietnam,1973,1
Vietnam,1980,1
Vietnam,1983,1
Vietnam,1984,2
Vietnam,1986,1
Vietnam,1990,1
Vietnam,1991,1
Vietnam,1992,2
Vietnam,1993,3
Vietnam,1995,2
Vietnam,1996,1
Vietnam,1997,3
Vietnam,1998,3
Vietnam,1999,2
Vietnam,2000,2
Vietnam,2001,2
Vietnam,2002,1
Vietnam,2003,3
Vietnam,2004,1
Vietnam,2005,6
Vietnam,2006,2
Vietnam,2007,3
Vietnam,2008,5
Vietnam,2009,4
Vietnam,2010,3
Vietnam,2011,1
Vietnam,2012,1
Vietnam,2013,7
Vietnam,2014,2
Vietnam,2015,2
Vietnam,2016,3
Vietnam,2017,4
Vietnam,2018,2
Vietnam,2019,4
